claim_id,app_id,app_name,platform,claimed_average,claimed_rating_count
RC-01,A-01,Tandemline,IOS,4.4,1208
RC-02,A-01,Tandemline,ANDROID,4.3,800
RC-03,A-02,Pairlight,IOS,4.6,2140
RC-04,A-02,Pairlight,ANDROID,4.3,400
RC-05,A-03,Hearthnote,IOS,4.3,662
RC-06,A-03,Hearthnote,ANDROID,3.9,900
RC-07,A-04,Twovine,ANDROID,4.4,33
RC-08,A-04,Twovine,IOS,4.4,1680
RC-09,A-05,Vowline,IOS,4.2,1239
RC-10,A-05,Vowline,ANDROID,3.8,740
RC-11,A-06,Nestora,IOS,4.1,281
RC-12,A-07,Lattice Two,ANDROID,4.0,1240
RC-13,A-08,Halfmoon Pair,IOS,4.1,200
RC-14,A-08,Halfmoon Pair,ANDROID,3.6,170
RC-15,A-09,Kindred Loop,IOS,3.6,1049
RC-16,A-16,Duetly,IOS,4.2,2310
RC-17,A-16,Duetly,ANDROID,4.4,348
RC-18,A-17,Us Almanac,ANDROID,3.9,968
RC-19,A-18,Kinward,IOS,4.2,870
RC-20,A-18,Kinward,ANDROID,4.3,600
RC-21,A-19,Tandem Tides,IOS,4.4,300
RC-22,A-20,Heartstring Pair,BOTH,4.4,1000
RC-23,A-05,Vowline,BOTH,3.8,1943
RC-24,A-21,Common Thread,IOS,4.3,523
RC-25,A-22,Nudgeloop,IOS,4.3,1113
RC-26,A-22,Nudgeloop,ANDROID,3.7,340
RC-27,A-23,Two-Step Diary,IOS,4.1,200
RC-28,A-23,Two-Step Diary,ANDROID,4.0,800
RC-29,A-24,Orbitwo,ANDROID,3.9,586
RC-30,A-24,Orbitwo,IOS,4.3,1171
RC-31,A-41,Pairwise,IOS,4.4,1323
RC-32,A-42,Lovenote Duo,ANDROID,3.6,705
RC-33,A-43,Bramble & Bee,IOS,4.0,540
RC-34,A-44,Hearthside,ANDROID,4.0,930
RC-35,A-45,Twinleaf,BOTH,4.0,2099
RC-36,A-42,Lovenote Duo,BOTH,4.1,1834
RC-37,A-46,Softlight,IOS,4.1,1950
RC-38,A-46,Softlight,ANDROID,4.7,126
RC-39,A-47,Nearby Us,ANDROID,3.9,1528
RC-40,A-48,Quietly Two,IOS,4.0,793
RC-41,A-49,Keepsake,IOS,4.0,1215
RC-42,A-49,Keepsake,ANDROID,4.2,690
RC-43,A-50,Northstar Pair,IOS,3.9,1475
RC-44,A-50,Northstar Pair,ANDROID,3.7,610
RC-45,A-51,Loop & Lantern,IOS,4.2,1020
RC-46,A-51,Loop & Lantern,ANDROID,3.6,571
RC-47,A-52,Sundial Us,IOS,4.4,980
RC-48,A-52,Sundial Us,ANDROID,3.6,415
RC-49,A-53,Paperplane,IOS,4.0,1777
RC-50,A-53,Paperplane,ANDROID,3.8,820
RC-51,A-53,Paperplane,BOTH,3.8,2540
RC-52,A-54,Tidewell,IOS,3.5,365
RC-53,A-54,Tidewell,ANDROID,4.2,2122
RC-54,A-55,Honeycomb Two,IOS,4.0,1105
RC-55,A-55,Honeycomb Two,BOTH,3.7,1765
RC-56,A-55,Honeycomb Two,ANDROID,3.5,634
RC-57,A-56,Moss & Ember,IOS,4.0,1890
RC-58,A-56,Moss & Ember,ANDROID,3.9,745
RC-59,A-56,Moss & Ember,BOTH,4.0,2595
RC-60,A-48,Quietly Two,ANDROID,3.3,300
