app_id,platform,captured_on,displayed_string
A-01,IOS,2026-08-10,"4.4 out of 1,190 Ratings"
A-01,IOS,2026-08-20,"4.4 out of 1,199 Ratings"
A-01,ANDROID,2026-08-10,4.2 out of 792 Ratings
A-02,IOS,2026-08-10,"4.6 out of 2,140 Ratings"
A-02,ANDROID,2026-08-10,4.3 out of 400 Ratings
A-03,IOS,2026-08-10,4.3 out of 655 Ratings
A-03,ANDROID,2026-08-10,3.6 out of 846 Ratings
A-04,ANDROID,2026-08-10,4.4out of 533 Ratings
A-04,ANDROID,2026-08-20,4.4 out of 541 Ratings
A-04,IOS,2026-08-10,"4.4 out of 1,655 Ratings"
A-05,IOS,2026-08-10,"3.8 out of 1,178 Ratings"
A-05,ANDROID,2026-08-10,3.9 out of 733 Ratings
A-06,IOS,2026-08-10,4.1 out of 281 Ratings
A-07,ANDROID,2026-08-10,"4.0 out of 1,402 Ratings"
A-08,IOS,2026-08-10,4.0 out of 198 Ratings
A-08,ANDROID,2026-08-10,3.6 out of 163 Ratings
A-09,IOS,2026-08-10,3.6 out of 1.049 Ratings
A-09,IOS,2026-08-20,3.6 out of 1.067 Ratings
A-10,IOS,2026-08-10,4.2 out of 166 Ratings
A-10,ANDROID,2026-08-10,4.1 out of 131 Ratings
A-16,IOS,2026-08-10,"4.2 out of 2,310 Ratings"
A-16,ANDROID,2026-08-10,4.5 out of 331 Ratings
A-17,ANDROID,2026-08-10,3.9 out of 986 Ratings
A-18,IOS,2026-08-10,4.2 out of 884 Ratings
A-18,ANDROID,2026-08-10,4.1 out of 585 Ratings
A-19,IOS,2026-08-10,4.4 out of 297 Ratings
A-20,IOS,2026-08-10,4.4 out of 872 Ratings
A-20,ANDROID,2026-08-10,3.8 out of 97 Ratings
A-21,IOS,2026-08-10,4.3 out of 470 Ratings
A-22,IOS,2026-08-10,4.3 out of 1.098 Ratings
A-22,ANDROID,2026-08-10,3.8 out of 351 Ratings
A-23,IOS,2026-08-10,4.1 out of 193 Ratings
A-23,ANDROID,2026-08-10,4.1 out of 781 Ratings
A-24,ANDROID,2026-08-10,3.9 out of 552 Ratings
A-24,IOS,2026-08-10,"4.2out of 1,150 Ratings"
