app_id,platform,pulled_on,stars,rating_count
A-01,IOS,2026-09-08,5,812
A-01,IOS,2026-09-08,4,241
A-01,IOS,2026-09-08,3,78
A-01,IOS,2026-09-08,2,31
A-01,IOS,2026-09-08,1,46
A-01,IOS,2026-09-15,5,820
A-01,IOS,2026-09-15,4,243
A-01,IOS,2026-09-15,3,79
A-01,IOS,2026-09-15,2,31
A-01,IOS,2026-09-15,1,47
A-01,ANDROID,2026-09-08,5,480
A-01,ANDROID,2026-09-08,4,160
A-01,ANDROID,2026-09-08,3,78
A-01,ANDROID,2026-09-08,2,42
A-01,ANDROID,2026-09-08,1,40
A-02,IOS,2026-09-08,5,1640
A-02,IOS,2026-09-08,4,350
A-02,IOS,2026-09-08,3,98
A-02,IOS,2026-09-08,2,40
A-02,IOS,2026-09-08,1,60
A-02,ANDROID,2026-09-08,5,280
A-02,ANDROID,2026-09-08,4,40
A-02,ANDROID,2026-09-08,3,40
A-02,ANDROID,2026-09-08,2,20
A-02,ANDROID,2026-09-08,1,20
A-02,ANDROID,2026-09-15,5,284
A-02,ANDROID,2026-09-15,4,42
A-02,ANDROID,2026-09-15,3,40
A-02,ANDROID,2026-09-15,2,21
A-02,ANDROID,2026-09-15,1,20
A-03,IOS,2026-09-08,5,402
A-03,IOS,2026-09-08,4,133
A-03,IOS,2026-09-08,3,61
A-03,IOS,2026-09-08,2,27
A-03,IOS,2026-09-08,1,39
A-03,ANDROID,2026-09-08,5,300
A-03,ANDROID,2026-09-08,4,210
A-03,ANDROID,2026-09-08,3,150
A-03,ANDROID,2026-09-08,2,96
A-03,ANDROID,2026-09-08,1,90
A-04,IOS,2026-09-08,5,1105
A-04,IOS,2026-09-08,4,322
A-04,IOS,2026-09-08,3,104
A-04,IOS,2026-09-08,2,58
A-04,IOS,2026-09-08,1,91
A-05,IOS,2026-09-08,5,520
A-05,IOS,2026-09-08,4,250
A-05,IOS,2026-09-08,3,200
A-05,IOS,2026-09-08,2,100
A-05,IOS,2026-09-08,1,108
A-05,ANDROID,2026-09-08,5,320
A-05,ANDROID,2026-09-08,4,185
A-05,ANDROID,2026-09-08,3,115
A-05,ANDROID,2026-09-08,2,65
A-05,ANDROID,2026-09-08,1,55
A-06,IOS,2026-09-08,5,150
A-06,IOS,2026-09-08,4,70
A-06,IOS,2026-09-08,3,30
A-06,IOS,2026-09-08,2,12
A-06,IOS,2026-09-08,1,19
A-07,ANDROID,2026-09-01,5,690
A-07,ANDROID,2026-09-01,4,375
A-07,ANDROID,2026-09-01,3,188
A-07,ANDROID,2026-09-01,2,79
A-07,ANDROID,2026-09-01,1,99
A-07,ANDROID,2026-09-08,5,700
A-07,ANDROID,2026-09-08,4,380
A-07,ANDROID,2026-09-08,3,190
A-07,ANDROID,2026-09-08,2,80
A-07,ANDROID,2026-09-08,1,100
A-08,IOS,2026-09-08,5,102
A-08,IOS,2026-09-08,4,47
A-08,IOS,2026-09-08,3,24
A-08,IOS,2026-09-08,2,12
A-08,IOS,2026-09-08,1,15
A-08,ANDROID,2026-09-08,5,60
A-08,ANDROID,2026-09-08,4,44
A-08,ANDROID,2026-09-08,3,30
A-08,ANDROID,2026-09-08,2,14
A-08,ANDROID,2026-09-08,1,22
A-09,IOS,2026-09-01,5,410
A-09,IOS,2026-09-01,4,255
A-09,IOS,2026-09-01,3,185
A-09,IOS,2026-09-01,2,110
A-09,IOS,2026-09-01,1,130
A-09,IOS,2026-09-15,5,422
A-09,IOS,2026-09-15,4,262
A-09,IOS,2026-09-15,3,190
A-09,IOS,2026-09-15,2,113
A-09,IOS,2026-09-15,1,134
A-10,IOS,2026-09-08,5,88
A-10,IOS,2026-09-08,4,40
A-10,IOS,2026-09-08,3,21
A-10,IOS,2026-09-08,2,9
A-10,IOS,2026-09-08,1,12
A-10,IOS,2026-09-15,5,90
A-10,IOS,2026-09-15,4,41
A-10,IOS,2026-09-15,3,21
A-10,IOS,2026-09-15,2,9
A-10,IOS,2026-09-15,1,12
A-10,ANDROID,2026-09-08,5,64
A-10,ANDROID,2026-09-08,4,33
A-10,ANDROID,2026-09-08,3,18
A-10,ANDROID,2026-09-08,2,10
A-10,ANDROID,2026-09-08,1,11
