claim_id,corrected_on,field,new_value
RC-20,2026-09-02,claimed_average,4.1
RC-07,2026-08-25,claimed_rating_count,353
RC-19,2026-08-20,claimed_rating_count,910
RC-21,2026-09-10,claimed_rating_count,318
RC-20,2026-08-22,claimed_average,4.0
RC-31,2026-09-01,claimed_rating_count,1380
RC-35,2026-08-28,claimed_rating_count,2122
RC-41,2026-08-18,claimed_rating_count,1235
RC-41,2026-09-05,claimed_rating_count,1275
RC-41,2026-08-30,claimed_rating_count,1260
RC-42,2026-09-08,claimed_average,4.1
RC-42,2026-09-09,claimed_rating_count,720
RC-43,2026-08-21,claimed_average,4.0
RC-43,2026-08-27,claimed_rating_count,1440
RC-44,2026-09-03,claimed_average,3.7
RC-44,2026-08-20,claimed_average,3.6
RC-45,2026-08-31,claimed_rating_count,1290
RC-12,2026-09-12,claimed_rating_count,1450
