claim_id,true_average,true_count,driver
RC-01,4.4,1208,NOTHING_WRONG
RC-02,4.2,800,AVERAGE_WRONG
RC-03,4.5,2188,BOTH_WRONG
RC-04,4.2,400,AVERAGE_WRONG
RC-05,4.3,655,COUNT_WRONG
RC-06,3.6,846,BOTH_WRONG
RC-07,4.4,533,COUNT_WRONG
RC-08,4.3,1680,AVERAGE_WRONG
RC-09,3.8,1203,BOTH_WRONG
RC-10,3.9,740,AVERAGE_WRONG
RC-11,4.1,281,NOTHING_WRONG
RC-12,4.0,1450,COUNT_WRONG
RC-13,4.0,200,AVERAGE_WRONG
RC-14,3.6,170,NOTHING_WRONG
RC-15,3.6,1049,NOTHING_WRONG
RC-16,4.2,2310,NOTHING_WRONG
RC-17,4.5,348,AVERAGE_WRONG
RC-18,3.9,986,COUNT_WRONG
RC-19,4.2,910,NOTHING_WRONG
RC-20,4.1,600,NOTHING_WRONG
RC-21,4.3,318,BOTH_WRONG
RC-22,4.4,1000,NOTHING_WRONG
RC-23,3.8,1943,NOTHING_WRONG
RC-24,4.3,523,NOTHING_WRONG
RC-25,4.3,1140,COUNT_WRONG
RC-26,3.8,365,BOTH_WRONG
RC-27,4.1,200,NOTHING_WRONG
RC-28,4.1,800,AVERAGE_WRONG
RC-29,3.9,568,COUNT_WRONG
RC-30,4.2,1171,AVERAGE_WRONG
RC-31,4.3,1380,AVERAGE_WRONG
RC-32,3.6,724,COUNT_WRONG
RC-33,4.0,540,NOTHING_WRONG
RC-34,4.0,930,NOTHING_WRONG
RC-35,4.0,2099,COUNT_WRONG
RC-36,4.1,1834,NOTHING_WRONG
RC-37,4.1,1950,NOTHING_WRONG
RC-38,4.6,126,AVERAGE_WRONG
RC-39,4.0,1484,BOTH_WRONG
RC-40,4.0,781,COUNT_WRONG
RC-41,4.0,1275,NOTHING_WRONG
RC-42,4.1,690,NOTHING_WRONG
RC-43,3.9,1440,AVERAGE_WRONG
RC-44,3.6,610,AVERAGE_WRONG
RC-45,4.1,1300,BOTH_WRONG
RC-46,3.7,540,BOTH_WRONG
RC-47,4.2,980,AVERAGE_WRONG
RC-48,3.6,415,NOTHING_WRONG
RC-49,4.0,1720,COUNT_WRONG
RC-50,3.8,820,NOTHING_WRONG
RC-51,3.9,2540,AVERAGE_WRONG
RC-52,3.5,365,NOTHING_WRONG
RC-53,4.3,2210,BOTH_WRONG
RC-54,3.8,1105,AVERAGE_WRONG
RC-55,3.7,1765,NOTHING_WRONG
RC-56,3.5,660,COUNT_WRONG
RC-57,3.9,1890,AVERAGE_WRONG
RC-58,4.0,745,AVERAGE_WRONG
RC-59,4.0,2635,COUNT_WRONG
RC-60,3.3,300,NOTHING_WRONG
